BECO,48WF+RF8,Home automation company,,,
SAFARIDISH,,Food products supplier,Open 24 hours,,
ASAL INDUSTRY,"DARU SALAM, MOGADISHU",Manufacturer,+252 61 1353333,,
Somplastic Industry,39F5+V4G Via Bal'ad Road,Plastic Injection Molding Workshop,+252 61 7054555,https://somplasticind.com/,"info@somplasticind.com, somplasticind@gmail.com"
Pepsi Cola Branch,"29XC+95R, Unnamed Road",Manufacturer,,,
Cabdi Risaaq Cabdilaahi Cali Ismaacil 63 Profile,G3V5+5MP,Home automation company,+252 63 4489871,,
Shifaa Pharmacy,W 21ka Nofeembar,Pharmaceutical company,+252 61 9995530,https://xarunta-abaahurayra-bakaro-dhabarka.business.site/?utm_source=gmb&utm_medium=referral,
Maamuus Events - Event Marketing Agency,Maka Al Mukarama,Event management company,+252 61 7633551,http://www.maamuus.so/,
Somprint,Airport Road,Print shop,+252 61 7217770,http://www.somprint.com/,info@somprint.com
Thorn Tree Lodge Solar Power Plant,28C5+XX4,Solar photovoltaic power plant,,http://www.equatorenergy.net/,
Cida sarta,"3947+653, Unnamed Road",Home automation company,+252 61 2949915,,
HAWADAY GENERAL TRADING IMPORT AND EXPORT COMPANY,"28JG+82H, Wadada Uganda",Food Processing Company,+252 68 2045350,,
Som Fire Protection & Security Inc.,"Daru-Tawhid Plaza, 4th Floor Suite D1,D2,D3, Al-Mukaramah Rd, Mogadishu- Banadir",Safety equipment supplier,+252 61 3723939,http://somfire.com/,info@somfire.com
Horyaal Soap Facrory,3889+WMG,Cosmetics industry,+252 61 9529666,,
Alfaraj General Trading,"28W9+P83, Bulaale Street",Cosmetics and perfumes supplier,+252 61 6799911,,
Horseed Pharmaceutical Company,Mohamuud Harbi Street Mogadishu,Pharmaceutical company,+252 61 5839614,,
Abuubakar Sadiiq Pharmaceutical company,382C+R9,Pharmaceutical company,+252 61 5504447,http://www.abuubakarsadiiq.so/,
Bayan Software Company,28X9+WPH,Software company,+252 61 9167329,,
SomGrain Company Ltd,Afgooye Street,Flour mill,+252 61 3400900,http://somgrain.so/,
BARWAAQO DRUG COMPANY,382C+JP5,Pharmaceutical company,,,
Rasmi Pharmaceutical Co,"382C+RCG, Mohamud Harbi Street",Pharmaceutical company,+252 1 651786,,
Tayo-san Pharmaceutical Import Co,"H369+QQM, Arwada Road",Pharmaceutical company,+252 63 4682424,,
Asas Group,28PF+996,Real Estate Builders & Construction Company,+252 61 9996199,https://asasgroup.so/,
IJAABO WATER,"Opposite Ibnu-khuzayma Primary & Secondary school Yaqshiid District, Behind Coca cola company",Mineral water company,,https://www.ijaabowater.so/,info@ijaabowater.com
Abraan pharmaceutical company,"27CQ+MJ9, W Jaale Siyaad",Pharmaceutical company,+252 61 5088180,http://www.abraan.com/,
Gateway Technologies Somalia LLC.,"Samsung Building, Makkah Almukarramah Ave",Software company,+252 61 8333365,https://gateway-technologies-somalia.business.site/?utm_source=gmb&utm_medium=referral,
Al Ikwa General Trading Company,"H369+JV7, Police Rd",Food Processing Company,+252 63 3217381,https://www.duluthtrading.com/,
Asal Solutions,"28H4+JXQ, Wadada Garoonka Diyaaradaha",Software company,+252 1 852929,http://www.asalsolutions.com/,
Beder Pharmaceutical Import co.,H379+7H5,Pharmaceutical company,+252 63 4421870,,
